region_id,lat,lon,city_name
396550,33.9989,-118.34258,"View Park-Windsor Hills, CA"
44434,28.4019534,-80.6046898,"Cape Canaveral, FL"
52999,34.4765512,-79.4031024,"Little Rock, SC"
397138,39.948238,-77.539479,"Greene Township, PA"
36408,38.8309,-91.138376,"Warrenton, MO"
56628,45.7572997,-122.8743589,"Scappoose, OR"
49960,40.3542858,-75.3050079,"Sellersville, PA"
49236,35.7235114,-83.3928185,"Greenbrier, TN"
11234,40.643536,-73.666249,"East Rockaway, NY"
49513,40.0070565,-75.0282271,"Palmyra, NJ"
55360,42.0695189,-76.1546504,"Apalachin, NY"
44819,43.7966548,-70.2581692,"Cumberland, ME"
7850,25.7560176,-80.2956847,"West Miami, FL"
49047,42.3516887,-87.9825772,"Gages Lake, IL"
56980,39.3620729,-77.5321,"Jefferson, MD"
7974,38.5331448,-81.8934676,"Winfield, WV"
54426,38.22257,-85.3552349,"Simpsonville, KY"
55355,36.2634109,-94.2318728,"Cave Springs, AR"
8568,31.6278703,-110.333967,"Huachuca City, AZ"
9403,33.8217125,-116.39358,"Thousand Palms, CA"
42099,39.3570442,-78.2872274,"Collinsville, VA"
6571,39.6029087,-76.1132172,"Port Deposit, MD"
7475,40.1498283,-75.4018501,"Trooper, PA"
45692,41.1073184,-73.7959667,"Hawthorne, NY"
51210,36.1256129,-78.7559875043,"Butner, NC"
9831,35.7073558,-81.0756345,"Catawba, NC"
5313,40.3526079,-74.4401513,"Jamesburg, NJ"
42755,40.7472744,-89.5740289,"Peoria Heights, IL"
4448,35.2045325,-89.6492471,"Eads, TN"
5421,42.1705807,-88.0478532,"Kildeer, IL"
8082,29.7713308,-94.6785092,"Anahuac, TX"
43982,40.5984249,-76.0932721,"Auburn, PA"
56451,39.146088,-77.4166561,"Poolesville, MD"
51770,40.3814581,-79.8597708,"Duquesne, PA"
47824,43.983076,-83.95888,"Standish, MI"
4794,42.2008575,-88.2145259,"Fox River Grove, IL"
55430,47.8894184,-117.3578196,"Chattaroy, WA"
42217,40.40372,-73.991527,"Highlands, NJ"
42842,35.7700681,-86.2847151,"Pleasant View, TN"
9412,35.0303648,-91.950421,"Ward, AR"
52230,40.0819301,-105.366382,"Glendale, CO"
55065,41.9511386,-88.2706313,"Wayne, IL"
55767,39.8251131,-75.2835191,"Gibbstown, NJ"
46719,35.6809856,-78.9355668,"New Hill, NC"
51763,40.5867287,-81.6081794,"Dundee, OH"
8569,42.4765655,-72.0087197,"Hubbardston, MA"
56241,39.830391,-75.2404608,"Paulsboro, NJ"
9027,38.8188287,-81.7105572,"Ripley, WV"
56466,40.3217361,-80.6097962,"Mingo Junction, OH"
44267,45.4300724,-122.3740589,"Boring, OR"
44671,45.075043,-94.1903675,"Cokato, MN"
43344,33.6349905,-86.7887203311,"Fultondale, AL"
46442,46.7379045,-119.902822,"Mattawa, WA"
5199,32.7918133,-93.055718,"Homer, LA"
4978,45.1032966,-93.6913527,"Greenfield, MN"
52158,45.5916111,-111.197416,"Gallatin Gateway, MT"
51209,36.3534506,-82.0323443,"Butler, TN"
9939,43.1853502,-90.4430489,"Muscoda, WI"
44696,33.5614982,-96.9111138,"Collinsville, TX"
47869,43.2749946,-71.1303656,"Strafford, NH"
49563,40.3949675,-79.4204948544,"New Alexandria, PA"
54197,45.421391,-83.818185,"Rogers City, MI"
5971,33.1167891,-84.1965855,"Milner, GA"
53851,41.4108855,-83.46104,"Pemberville, OH"
49664,29.2696579,-97.7625132,"Nixon, TX"
49175,43.130193,-96.454281,"Hudson, SD"
8146,40.1351122,-74.5240423,"Cream Ridge, NJ"
52960,30.4129759,-87.4369228,"Lillian, AL"
52422,42.1784124,-75.6246298,"Harpursville, NY"
55978,48.8039142,-105.1727604,"Flaxville, MT"
51385,40.6131203,-80.5628478,"Chester, WV"
116639,34.453696,-119.711461,"Mission Canyon, CA"
39686,36.400948,-94.593767,"Maysville, AR"
22508,37.265833,-122.300677,"Loma Mar, CA"
54433,40.9477439,-107.4978422,"Slater, CO"
183991,34.286229,-78.156257,"Sandy Creek, NC"
143652,40.110709,-85.729122,"River Forest, IN"
399004,40.74982,-75.5413,"Lehigh Township, PA"
48211,34.4461079,-117.8522857,"Valyermo, CA"
397701,41.06407,-72.32072,"Town of Shelter Island, NY"
45883,45.3768662,-87.6106172,"Ingalls, MI"
37800,41.264982,-89.126143,"Cedar Point, IL"
398053,44.70387,-73.51231,"Town of Plattsburgh, NY"
52366,39.6623813,-85.6505045,"Gwynneville, IN"
397771,40.724019,-74.428454,"Chatham Township, NJ"
37356,27.91669,-82.84538,"Belleair Shores, FL"
55832,48.2586367,-111.823504,"Ledger, MT"
4301,41.5235808,-90.5770967,"Davenport, IA"
53788,26.8233946,-80.1386547,"Palm Beach Gardens, FL"
46400,45.0984983,-93.4419222,"Maple Grove, MN"
398770,41.26675,-76.49134,"Jordan Township, PA"
16961,33.9694561,-118.1503953,"Bell Gardens, CA"
737790,33.9747067,-117.566541,"Eastvale, CA"
47532,44.6230229,-92.3574062,"Salem, WI"
54702,40.2890734,-74.0927967,"Tinton Falls, NJ"
48696,28.309403,-81.551582,"Celebration, FL"
24725,40.723279,-73.701474,"Floral Park, NY"
14032,36.208984,-79.884539,"Summerfield, NC"
17271,38.803116,-76.919789,"Camp Springs, MD"
18427,39.895009,-75.035725,"Haddonfield, NJ"
50555,39.71492385,-111.1610207206,"Scofield, UT"
398791,39.83416,-75.44794,"Garnet Valley, PA"
44587,45.3735757,-92.8899376,"Chisago City, MN"
46596,32.1243161,-89.2356169,"Montrose, MS"
27446,40.902861,-74.223241,"Totowa, NJ"
55923,36.1533982,-88.8006163,"Greenfield, TN"
19171,40.112266,-74.037182,"Manasquan, NJ"
42878,36.3910445,-86.7132740958,"Millersville, TN"
47765,36.4457093,-76.3274398,"South Mills, NC"
50153,41.3279106,-75.8007112,"West Pittston, PA"
6657,38.5218802,-77.2911023,"Quantico, VA"
47052,40.8687064,-75.2549025,"Pen Argyl, PA"
48571,39.88789,-75.3504678,"Woodlyn, PA"
5967,40.4562165,-74.4432073,"Milltown, NJ"
52128,47.281092,-68.38028,"Frenchville, ME"
6681,40.232739,-109.8076438,"Randlett,  UT"
52385,39.7436184,-93.9982743,"Hamilton, MO"
44981,30.66909,-93.04543,"Dry Creek,  LA"
5173,36.1441448,-93.8626051,"Hindsville, AR"
8714,33.7218256,-94.39562,"Foreman, AR"
53171,40.233322,-111.661962,"Marriott-Slaterville City, UT"
51842,40.9777325,-111.4424342,"Echo, UT"
5843,44.8849625,-93.8877453,"Mayer, MN"
55139,39.4854732,-79.0446881,"Westernport, MD"
45835,30.4168081,-97.9296281,"Hudson Bend, TX"
55949,35.1242397,-91.643947,"Griffithville, AR"
48322,44.0307442,-123.5853932,"Walton, OR"
4905,38.3640795,-122.5241487,"Glen Ellen, CA"
54248,38.5173028,-82.6976631,"Russell, KY"
56989,34.4492447,-92.6549581,"Traskwood, AR"
5279,40.6445099,-80.4161761,"Industry, PA"
53994,41.5987705,-93.2360739,"Prairie City, IA"
51108,45.168065,-84.916157,"Boyne Falls, MI"
49495,38.312578,-78.0658296,"Rapidan, VA"
6840,37.9624239,-122.554977,"Ross, CA"
47882,46.3811622,-92.8238459,"Sturgeon Lake, MN"
55042,41.1914711,-75.9504768,"Warrior Run, PA"
50419,42.46576,-95.6751047,"Cushing, IA"
7983,39.2564351,-89.3481413,"Witt, IL"
5753,44.2008512,-93.8209394252,"Madison Lake, MN"
56287,37.476182,-105.602254,"Mc Coy, CO"
50123,37.8497583,-93.0276891,"Tunas, MO"
43304,42.6878984,-88.0520341,"Union Grove, WI"
7957,40.3909023,-79.8100473,"Wilmerding, PA"
42505,35.5614129,-97.2919826,"Jones, OK"
55409,30.1132688,-94.642975,"Daisetta, TX"
44158,45.9979065,-120.3006062,"Bickleton, WA"
50664,42.4126885,-113.578063,"Albion, ID"
43988,38.5725523,-90.8820811,"Augusta, MO"
4674,34.8420376,-88.934228,"Falkner, MS"
57068,43.16963,-70.924301,"Madbury, NH"
47006,34.7728686,-92.7585001,"Paron, AR"
54342,40.3958988,-81.0848211,"Scio, OH"
8632,30.9656076,-86.4607328,"Laurel Hill, FL"
56066,41.6667784,-70.0786284,"Harwich Port, MA"
47469,40.8644849,-86.4997266,"Royal Center, IN"
56098,39.5611846,-81.3965084,"Lower Salem, OH"
9854,34.4626671,-78.1011055,"Currie, NC"
44366,38.6175863,-81.9818043,"Buffalo, WV"
43363,33.199221,-96.713399,"James Creek, PA"
55214,35.8697801,-114.6600654,"Willow Beach, AZ"
4960,39.4597798,-105.6621801,"Grant, CO"
8947,40.8192237,-83.1304704,"Nevada, OH"
8941,30.4913049,-91.5195542,"Maringouin, LA"
47448,30.1026003,-94.0564432,"Rose City, TX"
51466,40.4953483,-78.429736,"Coburn, PA"
