,name,state,id,lat,lon
2108,Mountain City,TN,42618,36.4745636,-81.804838
2109,Adelphi,MD,50650,39.0030666,-76.9721023
2110,Lecanto,FL,5588,28.8516486,-82.4875982
2112,Hanceville,AL,56013,34.0623275,-86.7627004
2113,Leeds,AL,42304,33.506102,-86.617118164
2115,Saint Clair,MI,9504,42.8231631,-82.4901868
2126,Wytheville,VA,48593,36.9479966,-81.0869747
2133,Melvindale,MI,5900,42.2825383,-83.175203
2140,New Carrollton,MD,6145,38.9698329,-76.8799727
2141,Windsor Locks,CT,55232,41.9281305,-72.643631
2142,Moseley,VA,42588,37.4748866,-77.7787851
2144,Williamston,SC,7949,34.6184471,-82.4779053
2146,Marion,VA,42690,36.8331284,-81.519515
2147,Newport,MI,56312,42.0022672,-83.3085419
2153,Coventry,CT,51566,41.7700987,-72.3050803
2155,Slade, KY,54431,37.7950836,-83.7040807
2157,New Baltimore,MI,6139,42.6811436,-82.7368616
2159,Wayland,MI,43549,42.6745321,-85.6457663
2160,Havre,MT,48984,48.5536972,-109.677802
2162,Vineyard,UT,43111,40.31512555,-111.7539509259
2165,Princess Anne,MD,47238,38.2028428,-75.6920008
2167,Erwin,TN,4604,36.1451082,-82.4168055
2173,Mauldin,SC,8963,34.77873,-82.310119
2185,Poquoson,VA,50297,37.1241861,-76.3921461
2187,Princeton,KY,54011,37.1092162,-87.8819595
2192,Greenville,KY,4991,37.2011539,-87.1788854
2195,Williamston,MI,55210,42.689151,-84.2832798
2198,Farmington,MI,51995,42.4644795,-83.3763219
2200,Rockwood,TN,49606,35.8656284,-84.68494
2203,Lyman,SC,53081,34.9481741,-82.1273312
2208,Romeo,MI,54200,42.802808,-83.0129874
2213,Kentwood,LA,52755,30.9382358,-90.5089843
2215,Powell,WY,6597,44.752873,-108.75902
2225,Elkmont,AL,45129,34.9289743,-86.9738959
2226,Lindon,UT,42845,40.3432857,-111.72076
2228,Carleton,MI,9729,42.0592101,-83.3907658
2234,Polson,MT,47179,47.6905295,-114.163761
2241,Woodbine,MD,48565,39.359942,-77.0620833
2243,Pine Castle,FL,47102,28.4713169,-81.368262
2245,Ridgeville,SC,6763,33.0966193,-80.3152808
2247,Graniteville,SC,42361,33.5637483,-81.8078887
2250,Owings,MD,53767,38.7176176,-76.6013487
2255,Preston,ID,47231,42.0963133,-111.876617
2258,Old Town,FL,46881,29.6013454,-82.9817927
2278,Hawthorne,FL,57254,29.5918856,-82.0869578
2294,Columbiana,AL,44702,33.1781718,-86.6072054
2296,Pineville,KY,9071,36.7620301,-83.6949176
2299,Whitwell,TN,55195,35.2014631,-85.5191323
2301,Alpine,UT,50696,40.453253,-111.7779596
2303,Bassett,VA,50880,36.7593037,-79.9903195
2305,Menominee,MI,49684,45.107671,-87.614491
2307,Otsego,MI,42603,42.4605904,-85.696406
2309,Lake Alfred,FL,46100,28.091963,-81.7234114
2311,Madison,FL,53104,30.4693772,-83.4129254
